iteration,rmse,n_factors,lr_all,reg_all,best_rmse
1,0.880086021464559,50,0.004308099953123432,0.013683046928233158,0.880086021464559
2,0.9086269366777494,50,0.01272873072727521,0.013036434340800878,0.880086021464559
3,0.9433592978265556,50,0.04165995529815777,0.012401344030818846,0.880086021464559
4,0.8878624099110765,60,0.0019104154655646048,0.09862106379659194,0.880086021464559
5,0.8879245698803445,100,0.002423924072435647,0.013541310446882558,0.880086021464559
6,0.8968394074714618,60,0.02382539093971179,0.027057871828359663,0.880086021464559
7,0.8996978966009636,90,0.026423671782472936,0.017928663435499592,0.880086021464559
8,0.893087297323476,70,0.0015275293353820684,0.013482543544880255,0.880086021464559
9,0.8987063616416414,90,0.05796024049885649,0.015144521534545194,0.880086021464559
10,0.8778505989529909,100,0.004003678872547241,0.07125790197467394,0.8778505989529909
11,0.9060981651176934,60,0.06732552430798003,0.022268892212763274,0.8778505989529909
12,0.9282816023707646,50,0.017550803531176076,0.010063084523480453,0.8778505989529909
13,0.8938533138166099,70,0.0014215538333041012,0.05966386432282975,0.8778505989529909
14,0.9348814388485794,60,0.0535572719578825,0.010470244507658617,0.8778505989529909
15,0.8945423364519313,100,0.0015544225248074635,0.011708725257708826,0.8778505989529909
16,0.8671047482129876,70,0.02570416631933941,0.06338135965337731,0.8671047482129876
17,0.8895253552906119,80,0.07059585510051715,0.0256317410794843,0.8671047482129876
18,0.8933121412203219,70,0.0014425626062585853,0.03764826941113507,0.8671047482129876
19,0.881421079006867,50,0.002844957372685967,0.04524112065828954,0.8671047482129876
20,0.8988108093664723,80,0.060211553176820594,0.01639020163014393,0.8671047482129876
