number,value,datetime_start,datetime_complete,duration,params_k,params_sim_options__name,params_sim_options__user_based,state
0,0.9864554432346879,2025-11-16 00:28:05.757977,2025-11-16 00:28:07.794346,0 days 00:00:02.036369,42,pearson,True,COMPLETE
1,0.9600764043222093,2025-11-16 00:28:07.794346,2025-11-16 00:28:09.503490,0 days 00:00:01.709144,42,msd,True,COMPLETE
2,0.9850829791610488,2025-11-16 00:28:09.504513,2025-11-16 00:28:11.486635,0 days 00:00:01.982122,91,pearson,True,COMPLETE
3,0.9687333383065034,2025-11-16 00:28:11.486635,2025-11-16 00:28:34.801400,0 days 00:00:23.314765,62,cosine,False,COMPLETE
4,0.9712994675560771,2025-11-16 00:28:34.801400,2025-11-16 00:28:46.630662,0 days 00:00:11.829262,54,cosine,False,COMPLETE
5,0.9671211413610697,2025-11-16 00:28:46.630662,2025-11-16 00:29:08.419500,0 days 00:00:21.788838,70,pearson,False,COMPLETE
6,0.979204931066921,2025-11-16 00:29:08.420504,2025-11-16 00:29:25.247935,0 days 00:00:16.827431,27,pearson,False,COMPLETE
7,0.9622024781309441,2025-11-16 00:29:25.248939,2025-11-16 00:29:27.190846,0 days 00:00:01.941907,50,msd,True,COMPLETE
8,0.9125514938619661,2025-11-16 00:29:27.190846,2025-11-16 00:29:37.276977,0 days 00:00:10.086131,99,msd,False,COMPLETE
9,0.9637593909078034,2025-11-16 00:29:37.276977,2025-11-16 00:29:39.110274,0 days 00:00:01.833297,85,msd,True,COMPLETE
10,0.9480972281943251,2025-11-16 00:29:39.110274,2025-11-16 00:29:46.743642,0 days 00:00:07.633368,10,msd,False,COMPLETE
11,0.9339356088237594,2025-11-16 00:29:46.743642,2025-11-16 00:29:54.369449,0 days 00:00:07.625807,15,msd,False,COMPLETE
12,0.9442952526949356,2025-11-16 00:29:54.369449,2025-11-16 00:30:02.748951,0 days 00:00:08.379502,11,msd,False,COMPLETE
13,0.9137593094040585,2025-11-16 00:30:02.748951,2025-11-16 00:30:12.523663,0 days 00:00:09.774712,100,msd,False,COMPLETE
