number,value,datetime_start,datetime_complete,duration,params_lr_all,params_n_factors,params_reg_all,state
0,0.8819093747352106,2025-11-16 00:26:56.563181,2025-11-16 00:26:58.756267,0 days 00:00:02.193086,0.003095359264021246,130,0.13451787495546386,COMPLETE
1,0.8814375643340622,2025-11-16 00:26:58.756267,2025-11-16 00:26:59.824377,0 days 00:00:01.068110,0.0029550885075898406,52,0.0286653270482323,COMPLETE
2,0.8862015381232595,2025-11-16 00:26:59.824377,2025-11-16 00:27:01.189251,0 days 00:00:01.364874,0.0026004093466206798,91,0.011041748082320425,COMPLETE
3,0.8998706914630636,2025-11-16 00:27:01.189251,2025-11-16 00:27:02.358351,0 days 00:00:01.169100,0.03475882951203486,68,0.02241916788273085,COMPLETE
4,0.936317659480582,2025-11-16 00:27:02.358351,2025-11-16 00:27:03.511223,0 days 00:00:01.152872,0.07644998685914553,54,0.013526538056454727,COMPLETE
5,0.8750423729926845,2025-11-16 00:27:03.511609,2025-11-16 00:27:05.032258,0 days 00:00:01.520649,0.004850860053235341,145,0.10534800923071716,COMPLETE
6,0.8666626543736706,2025-11-16 00:27:05.032258,2025-11-16 00:27:06.049797,0 days 00:00:01.017539,0.031039245389178644,50,0.07999106298385056,COMPLETE
7,0.8863986027492285,2025-11-16 00:27:06.049797,2025-11-16 00:27:07.614633,0 days 00:00:01.564836,0.03303648765111266,136,0.018299157645932672,COMPLETE
8,0.8751472980004396,2025-11-16 00:27:07.614633,2025-11-16 00:27:09.091338,0 days 00:00:01.476705,0.037051531933143554,144,0.19841932381826582,COMPLETE
9,0.8714332670529136,2025-11-16 00:27:09.091338,2025-11-16 00:27:10.521558,0 days 00:00:01.430220,0.007805189045493065,150,0.1297907460660134,COMPLETE
10,0.897255030954475,2025-11-16 00:27:10.521558,2025-11-16 00:27:11.825612,0 days 00:00:01.304054,0.0012011630338418051,94,0.06158582000800607,COMPLETE
11,0.8643862033820945,2025-11-16 00:27:11.825612,2025-11-16 00:27:13.323825,0 days 00:00:01.498213,0.01364947695533648,114,0.06478371989359133,COMPLETE
12,0.8673197091907356,2025-11-16 00:27:13.323825,2025-11-16 00:27:14.846668,0 days 00:00:01.522843,0.012650487536772238,115,0.05556076719577307,COMPLETE
13,0.8644756090118522,2025-11-16 00:27:14.846668,2025-11-16 00:27:16.062564,0 days 00:00:01.215896,0.014702907530704613,80,0.07929371547193481,COMPLETE
14,0.8765838160810554,2025-11-16 00:27:16.062564,2025-11-16 00:27:17.387686,0 days 00:00:01.325122,0.014002760855315391,79,0.037726580292187784,COMPLETE
15,0.8725453737854245,2025-11-16 00:27:17.387686,2025-11-16 00:27:18.809418,0 days 00:00:01.421732,0.01866039490841291,112,0.04087554562990946,COMPLETE
16,0.871059635924273,2025-11-16 00:27:18.809418,2025-11-16 00:27:20.322956,0 days 00:00:01.513538,0.007248685364267849,115,0.07743363962319237,COMPLETE
17,0.876320320316566,2025-11-16 00:27:20.322956,2025-11-16 00:27:21.600225,0 days 00:00:01.277269,0.08367941883576366,82,0.08728381836155998,COMPLETE
18,0.8700357931387545,2025-11-16 00:27:21.600225,2025-11-16 00:27:23.040343,0 days 00:00:01.440118,0.0186045806571253,102,0.046780185687985115,COMPLETE
19,0.8767061792622611,2025-11-16 00:27:23.040343,2025-11-16 00:27:24.303482,0 days 00:00:01.263139,0.00506528285008306,74,0.17089543440606475,COMPLETE
20,0.8745479511918068,2025-11-16 00:27:24.303482,2025-11-16 00:27:25.790442,0 days 00:00:01.486960,0.057300583812214756,125,0.03231788743819999,COMPLETE
21,0.864379483145369,2025-11-16 00:27:25.790442,2025-11-16 00:27:26.972352,0 days 00:00:01.181910,0.02277433665425446,63,0.07686627441188666,COMPLETE
22,0.8674514443848785,2025-11-16 00:27:26.973359,2025-11-16 00:27:28.104599,0 days 00:00:01.131240,0.019214443420606388,61,0.06096271163626837,COMPLETE
23,0.8684819410802195,2025-11-16 00:27:28.104599,2025-11-16 00:27:29.168371,0 days 00:00:01.063772,0.009936734027052183,68,0.09810233591409519,COMPLETE
24,0.8646626091108933,2025-11-16 00:27:29.168371,2025-11-16 00:27:30.361857,0 days 00:00:01.193486,0.02565234494225102,87,0.06991993575725433,COMPLETE
25,0.8681281926329835,2025-11-16 00:27:30.361857,2025-11-16 00:27:31.633671,0 days 00:00:01.271814,0.011774720196817398,102,0.12375450190063257,COMPLETE
26,0.8722389197966592,2025-11-16 00:27:31.633671,2025-11-16 00:27:32.699360,0 days 00:00:01.065689,0.02116613018579513,66,0.05105607925376339,COMPLETE
27,0.8635645395048809,2025-11-16 00:27:32.699360,2025-11-16 00:27:33.980750,0 days 00:00:01.281390,0.04203036101057415,78,0.09974646573776898,COMPLETE
28,0.8740918532803085,2025-11-16 00:27:33.980750,2025-11-16 00:27:35.349525,0 days 00:00:01.368775,0.053027405929975034,107,0.1656175802275096,COMPLETE
29,0.8657444344479538,2025-11-16 00:27:35.349525,2025-11-16 00:27:36.800837,0 days 00:00:01.451312,0.049608215058704844,121,0.10855827411144288,COMPLETE
30,0.8710647137794162,2025-11-16 00:27:36.800837,2025-11-16 00:27:38.024730,0 days 00:00:01.223893,0.04449443013909466,59,0.15278162813655907,COMPLETE
31,0.8651436216330679,2025-11-16 00:27:38.024730,2025-11-16 00:27:39.247351,0 days 00:00:01.222621,0.015358123408708372,76,0.07048962024866552,COMPLETE
32,0.8621449445529122,2025-11-16 00:27:39.247351,2025-11-16 00:27:40.535849,0 days 00:00:01.288498,0.02479918454525909,86,0.08654452469121113,COMPLETE
33,0.8604040171573538,2025-11-16 00:27:40.535849,2025-11-16 00:27:41.916630,0 days 00:00:01.380781,0.02368364533879301,95,0.09166368335341846,COMPLETE
34,0.8592424536720423,2025-11-16 00:27:41.916630,2025-11-16 00:27:43.252108,0 days 00:00:01.335478,0.026006766464100127,94,0.09366752422404014,COMPLETE
35,0.8688607520229142,2025-11-16 00:27:43.252108,2025-11-16 00:27:44.602144,0 days 00:00:01.350036,0.06487555318363417,96,0.09577764512744942,COMPLETE
36,0.862640625900302,2025-11-16 00:27:44.602144,2025-11-16 00:27:45.968174,0 days 00:00:01.366030,0.027066521788694238,85,0.12042871798088263,COMPLETE
37,0.8628481772630128,2025-11-16 00:27:45.968174,2025-11-16 00:27:47.110980,0 days 00:00:01.142806,0.026841740196445984,88,0.12207598749360618,COMPLETE
38,0.8663728493569797,2025-11-16 00:27:47.110980,2025-11-16 00:27:48.397243,0 days 00:00:01.286263,0.034086372011985944,85,0.14655235431741473,COMPLETE
39,0.8624002563495695,2025-11-16 00:27:48.397243,2025-11-16 00:27:49.803570,0 days 00:00:01.406327,0.028712365836422622,95,0.12063793570581482,COMPLETE
40,0.8766279283011328,2025-11-16 00:27:49.803570,2025-11-16 00:27:51.101180,0 days 00:00:01.297610,0.0926504365414445,92,0.08815541282559587,COMPLETE
41,0.8618293270864085,2025-11-16 00:27:51.101180,2025-11-16 00:27:52.524858,0 days 00:00:01.423678,0.03033612449492679,97,0.11288093354947461,COMPLETE
42,0.8729796862331001,2025-11-16 00:27:52.524858,2025-11-16 00:27:53.982446,0 days 00:00:01.457588,0.030759852380844152,97,0.18415818180689336,COMPLETE
43,0.8674088606871045,2025-11-16 00:27:53.982446,2025-11-16 00:27:55.287102,0 days 00:00:01.304656,0.039164615925535,107,0.14334335736242487,COMPLETE
44,0.8719177655313782,2025-11-16 00:27:55.287102,2025-11-16 00:27:56.663941,0 days 00:00:01.376839,0.07134269592147491,100,0.11232814614418411,COMPLETE
45,0.8667945375109722,2025-11-16 00:27:56.663941,2025-11-16 00:27:57.932476,0 days 00:00:01.268535,0.022595204399934926,90,0.13344012520476442,COMPLETE
